Sentiment (actual),Sentiment (predicted),confidence,text
positive,negative,0.3907798558167694,"Now all  <ATSIGN> Apple has to do is get swype on the iphone and it will be crack <PERIOD>  Iphone that is"
positive,positive,0.6482450105347669," <ATSIGN> Apple will be adding more carrier support to the iPhone 4S  <OPENPAREN> just announced <CLOSEPAREN> "
positive,neutral,0.5895050617593477,"Hilarious  <ATSIGN> youtube video  <DASH>  guy does a duet with  <ATSIGN> apple 's Siri <PERIOD>  Pretty much sums up the love affair <EXCLAMATIONMARK>  http <COLON>  <FORWARDSLASH>  <FORWARDSLASH> t <PERIOD> co <FORWARDSLASH> 8ExbnQjY"
positive,negative,0.4171403773106755," <ATSIGN> RIM you made it too easy for me to switch to  <ATSIGN> Apple iPhone <PERIOD>  See ya <EXCLAMATIONMARK> "
positive,negative,0.41334673675923406,"I just realized that the reason I got into twitter was ios5 thanks  <ATSIGN> apple"
positive,negative,0.6140762495355878,"I'm a current  <ATSIGN> Blackberry user <COMMA>  little bit disappointed with it <EXCLAMATIONMARK>  Should I move to  <ATSIGN> Android or  <ATSIGN> Apple  <ATSIGN> iphone"
positive,neutral,0.4885394605494528,"The 16 strangest things Siri has said so far <PERIOD>  I am SOOO glad that  <ATSIGN> Apple gave Siri a sense of humor <EXCLAMATIONMARK>  http <COLON>  <FORWARDSLASH>  <FORWARDSLASH> t <PERIOD> co <FORWARDSLASH> TWAeUDBp via  <ATSIGN> HappyPlace"
positive,negative,0.6645927195732803,"Great up close  <AMPERSAND>  personal event  <ATSIGN> Apple tonight in Regent St store <EXCLAMATIONMARK> "
positive,negative,0.8154290844337708,"From which companies do you experience the best customer service aside from  <ATSIGN> zappos and  <ATSIGN> apple <QUESTIONMARK> "
positive,negative,0.5331433602641756,"Just apply for a job at  <ATSIGN> Apple <COMMA>  hope they call me lol"
positive,negative,0.4639492435616764,"Lmao I think  <ATSIGN> apple is onto something magical <EXCLAMATIONMARK>  I am DYING <EXCLAMATIONMARK>  <EXCLAMATIONMARK>  <EXCLAMATIONMARK>  haha <PERIOD>  Siri suggested where to find whores and where to hide a body lolol"
positive,neutral,0.41694700977110205,"Wow <PERIOD>  Great deals on refurbed  <NUMBERSIGN> iPad  <OPENPAREN> first gen <CLOSEPAREN>  models <PERIOD>  RT <COLON>  Apple offers great deals on refurbished 1st <DASH> gen iPads http <COLON>  <FORWARDSLASH>  <FORWARDSLASH> t <PERIOD> co <FORWARDSLASH> ukWOKBGd  <ATSIGN> Apple"
positive,negative,0.5908235192924092,"Just registered as an  <ATSIGN> apple developer <PERIOD>  <PERIOD>  <PERIOD>  Here's hoping I can actually do it <PERIOD>  <PERIOD>  <PERIOD>  Any help <COMMA>  greatly appreciated <EXCLAMATIONMARK> "
positive,negative,0.623164603133357,"你好  <EXCLAMATIONMARK>  Currently learning Mandarin for my upcoming trip to Hong Kong <PERIOD>  I gotta hand it to  <ATSIGN> Apple iPhones  <AMPERSAND>  their uber useful flashcard apps  "
positive,neutral,0.5453446837091658,"Come to the dark side 📱“ <ATSIGN> gretcheneclark <COLON>  Hey  <ATSIGN> apple <COMMA>  if you send me a free iPhone <COMMA>  I will publicly and ceremoniously burn my  <NUMBERSIGN> BlackBerry <PERIOD> ”"
positive,positive,0.5225355494193641,"Hey  <ATSIGN> apple <COMMA>  if you send me a free iPhone  <OPENPAREN> any version will do <CLOSEPAREN>  <COMMA>  I will publicly and ceremoniously burn my  <NUMBERSIGN> BlackBerry <PERIOD> "
