Sentiment (actual),Sentiment (predicted),confidence,text
negative,irrelevant,0.4803899024015788,"yea <COMMA>  it is a strange description"
negative,irrelevant,0.4631000915358131,"Hmm <COMMA>  well the fundraising experience has got to be less applicable than the nanny or child care at least <PERIOD>  Even if the exact job tasks aren't clear <PERIOD> "
negative,irrelevant,0.4520894355801731,"yeah  only less than a year as part <DASH> time nanny"
negative,negative,0.3750092306047933,"i don't know much about child development <COMMA>  but care for 6 year olds may only partially overlap with our 7 <DASH> 14 age group"
negative,irrelevant,0.4631000915358131,"Yeah <COMMA>  I guess our group is older <PERIOD> "
negative,irrelevant,0.4520894355801731,"yeah its not completely related especially bc she only worked with one child and not a  group which the Y might require <DASH>   Might being the key word"
negative,irrelevant,0.5941230866207965,"reputed <QUESTIONMARK>  I think he means"
negative,negative,0.40376842382117034,"oh <COMMA>  good catch <PERIOD>  <PERIOD>  <PERIOD> let's take that point away <EXCLAMATIONMARK> "
negative,irrelevant,0.6379407994861926,"I don't see much qualification for the position on his resume <PERIOD>  <PERIOD>  <PERIOD> "
negative,irrelevant,0.7641950367711319,"strangely enough carla's unclear background fits our unclear ad  <COLON> P"
negative,irrelevant,0.6559166369588528,"He doesn't list his GPA though"
negative,irrelevant,0.6559166369588528,"Which makes me think that he might be partying too much as a freshman"
negative,irrelevant,0.4520894355801731,"nope <DASH>   big problem nick"
negative,irrelevant,0.6559166369588528,"The posting asks for experience but doesn't specify in what exactly"
negative,irrelevant,0.4520894355801731,"yeah that makes it difficult to hire the right person without knowing what we're hiring for <DASH>    but we figure someone who can work with kids overall"
negative,irrelevant,0.4520894355801731,"no child exp <DASH>   was part of college orientation"
negative,irrelevant,0.6559166369588528,"He has no experience"
negative,irrelevant,0.6559166369588528,"worst resume yet"
negative,irrelevant,0.6559166369588528,"I agree"
negative,irrelevant,0.4631000915358131,"I'd much rather experience with the age group <COMMA>  though <COMMA>  yeah <PERIOD> "
negative,irrelevant,0.6379407994861926,"agree with amy <PERIOD>  <PERIOD>  after reviewing them earlier I thought he was outta place for sure"
negative,irrelevant,0.6559166369588528,"Yeah but if they're looking for someone who is experienced then I'd cross him off"
negative,irrelevant,0.6379407994861926,"but outside of that <PERIOD>  <PERIOD>  <PERIOD>  he has no experience with the occupational environment at all"
negative,irrelevant,0.6559166369588528,"But she's VERY vague"
negative,irrelevant,0.5941230866207965,"why dont these people state how long  they've done a job <QUESTIONMARK>  <QUESTIONMARK>  <QUESTIONMARK> "
negative,irrelevant,0.4631000915358131,"Ok <COMMA>  I looked ahead and Robert Jordan is already off the list <PERIOD> "
negative,irrelevant,0.6379407994861926,"He spelled utilize wrong <PERIOD> "
negative,irrelevant,0.4803899024015788,"yep <COMMA>  i'm a spelling Nazi"
negative,irrelevant,0.6559166369588528,"But fictional getting a job RJ not so good"
negative,irrelevant,0.6379407994861926,"seeems like a book worm <PERIOD>  <PERIOD> "
negative,irrelevant,0.4803899024015788,"Umm <COMMA>  he wasn't as good"
negative,irrelevant,0.6559166369588528,"but she wants to work with teenagers"
negative,irrelevant,0.6559166369588528,"and its for younger kids"
negative,irrelevant,0.6379407994861926,"yeah but anyone can say they have good comm <PERIOD>  skills <PERIOD>  <PERIOD>  <PERIOD>  you need an interview to assess the truth of that"
negative,irrelevant,0.4520894355801731,"reputed company still bothers me  <DASH>  that's bad English"
negative,irrelevant,0.6559166369588528,"i think flexibility and tutoring are the only things he has as a one up on the others"
negative,irrelevant,0.6379407994861926,"yeah the spelling is not the best thing fora resume <PERIOD>  <PERIOD>  <PERIOD> but our choices are not so good as it is  nick"
negative,irrelevant,0.4803899024015788,"I would vote against him <COMMA>  since we have two others we like"
negative,irrelevant,0.6559166369588528,"Ok Emily is out"
negative,irrelevant,0.5941230866207965,"but in high sschool <QUESTIONMARK> "
negative,irrelevant,0.7641950367711319,"The only problem I forsee <COLON> "
negative,irrelevant,0.6559166369588528,"Is that she wants to work with teens she might quit after a short time period"
negative,irrelevant,0.6379407994861926,"I am reconsidering Carla because of the teenage counselor thing <PERIOD> "
negative,irrelevant,0.6559166369588528,"It is kind of funny to put"
negative,irrelevant,0.5326173558979165,"i think carla's losing support from the amy and the george <EXCLAMATIONMARK> "
negative,irrelevant,0.6559166369588528,"And the meg"
negative,irrelevant,0.5941230866207965,"where in richards resume do you see him working WITH people <QUESTIONMARK> "
negative,irrelevant,0.6559166369588528,"but phone calls are not with people face to face"
negative,irrelevant,0.6559166369588528,"he tutored but that seems the only face to face interaction other than being in an office handling calls"
negative,irrelevant,0.5941230866207965,"who else thinks that cheyney is ridiculous <QUESTIONMARK> "
negative,irrelevant,0.6559166369588528,"because I really do"
negative,irrelevant,0.6559166369588528,"pretty depressing if you dont mind me saying"
